% 1. Title : cyclus.spam.train
%
%
% 2. Sources:
%    (a) Creator : Zach Welch
%    (b) Date 2013-11-25
@RELATION BUGGY
@ATTRIBUTE Comment STRING
@ATTRIBUTE classification {clean,buggy}

@DATA
" Negative material exception was being thrown by some input files. This has been ameliorated by reinstating proper use of isZero during normalization.",buggy
" You must erase an entry in a CompHistory or MassHistory before you insert a new entry with the same key. Be more careful.",buggy
" This is Roy's first commit! Great success!",buggy
" This is Roy's second commit...",clean
" This is Roy's first solo commit...",buggy
" This creates a second sandbox executable so that Roy can choose between an executable that builds his new module and the current stable build. I officially endorse the breaking of the sandbox build. That said this sandbox executable will be deprecated as soon as we move to a testing framework. My goofing around yesterday with googletest has won me over. However it requires a newer version of cmake than CAE is comfortable with. I'll be looking into installing CMAKE 2.8.2-2 and googletest on the cnerg space.",buggy
" This links cyclus with the googletest testing framework. It is now necessary for users of cyclus to set two environment variables GTEST_ROOT and GTEST_INCLUDE_DIR to their googletest build and googletest include directories respectively. For cyclus this has been done within in the cnerg environment.",buggy
" Now the Logician sends the Tick and Tock to the Regions and Institutions as well as the Facilities. The function is virtual but not pure virtual and therefore the regions and institutions will ignore the tick and tock by default.",buggy
" I decided the default receiveMessage behavior for RegionModels should be to pass messages up and down according to the message direction.",clean
" Moved default message passing behavior to InstModel as well. Analgous to revision 219 changes to the RegionModels.",clean
" Adds testing framework that incorporates googletest without all the environment variable hoopla. This notion of packaging gtest using pthreads came from Daniel Blezek and the SimpleITK project.",buggy
" Fixed that annoying thing... you know that thing where building the documentation is included in make all. Phew.",clean
" More testing stuff for the wiki. Includes broken MaterialTest file. To be fixed during workshop in a bit.",buggy
" This fixes the unit testing problem. I was previously failing to link to the libraries of the source code. Much thanks to Daniel Blezek for his help.",buggy
" Matrix Name Change and now building in main cyclus and not sandbox",buggy
" This adds a functioning test within the MaterialTest test case. It is called ManualConstructor tests one of the material connstrucors in a very basic way.",buggy
" improves MaterialTest::ManualConstructor test to do slightly more interesting things.",clean
" Added getNumFacilities() function to InstModel interface for public reporting of current facilities",clean
" When using the sep1test.xml file it fails in SepMatFac within the sendMaterial Function.  I have provided some comments within section where failure occurs",buggy
" Matt and Katy Team Programming day! Worked on DeployInst model.",buggy
" Rearranged input files and added septest.xml",buggy
" Removes malformed sendMessage member in SeparationsMatrixFacility class. The convention for message passing was undermined by this implementation. This facility did not need a sendMessage function and the malformed implementation overrode an appropriately implemented version in the Communicator class. This closes the issue presented by the comments of revision 233.",buggy
" Fixes a minor memory leak resulting from the use of c_str  thanks to excellent valgrind rune translation by Steve Jackson.",buggy
" The regions pass the ticks and tocks to institutions successfully. Next step will be to pass the ticks and tocks from institutions to facilities. Initial attempts at the latter fail. Perhaps due to lack of proper initializaton of recipe data members of facilities?",clean
" This will keep the gtest files out of the cyclus documentation.",clean
" Handle Ticks/Tocks now pass from Regions -> Insts -> Facs successfully. The copy function for each model is now called from copyFreshModel which allows a parent model to copy a child without knowing the child's type.",buggy
" Addresses missing copyFreshModel implementation in various Facility models not completed in revision 240. A crash was noted in null milestone tests 5 and 6 related to initialization of commType for copied models. (an issue to be created).",buggy
" Addresses missing copyFreshModel implementation in every Region Inst Market and Converter model not completed in revision 240 or 241. Also fixes the crash that was noted in null milestone tests 5 and 6 related to initialization of commType for copied models.",buggy
" This radical grammarian has found and fixed a specific spelling error.",clean
" Fixed SourceFacility copy function to correctly copy capacity and inventory size variables. Also removed some extraneous comments and print statements used for bookmarking and debugging while ticks and tocks were being worked on.",clean
" Initial work on BuildRegion",buggy
" Working on BuildRegion. Current plan is to simply get build capability at time not equal to 0. After an algorithm should be developed to determine what facility to build what institution should build it and request that said institution builds the facility. Perhaps we should have a preference list and request from the top down stopping when a request is accepted...",buggy
" Commenting out BuildRegion functions so nobody crashes...",buggy
" Added basic ability to build new facilities at a given time through BuildRegion and BuildInst. Testing input is testBuild.xml in /input/null. Both classes need heavy refinement.",buggy
" Moved test files associated with the inpro benchmark milestone into a new test input file folder called input/inpro . This will keep them separated from those associated with the null milestone.",clean
" Adds an exception to detect nonexistent offers in the greedymarket",buggy
" Adresses Issue 13 by copying data files into the build directory during the configure step. Also adresses some issues in the MassTable class concerning the appropriate use of the HDF5/CPP API in steady progress toward Issue 1",buggy
" This fixes issue 1 employing the MassTable in the mass lookup in the material class.",buggy
" This adds a compiling BookKeeper class which defines a singleton instance and creates an empty HDF5 file called cyclus.h5",buggy
" Working on BuildRegion and XML matrix input",buggy
" This answers the question posed in r258 about generating names for models. It creates a handle out of the model implementation type (modelImpl) and the model serial number (ID). The appropriateness or redundancy of this solution with the existence of model names should be discussed further... but generally speaking these are unique names and can be called with the Model::getHandle() function.",clean
" BookKeeper here progresses toward creating hdf5 file with appropriate structure.",buggy
" added generic INPRO fresh and spent LWR fuel recipes to serve as basis for PWR and BWR for NWTRB milestone.",buggy
" The bookkeeper can now read information from the logician's list of facilities. Nice. Next we need it to read *useful* information...",buggy
" Unbreaks something I apparently broke in the build this weekend. Oops sorry guys! I guess since no one told me it didn't get in anyone's way just yet. Phew. Onward.",clean
" added NWTRB facilities input file. next step is adding input file",buggy
" This catches an error which appears to have been introduced in r240. The load_facilitycatalog function was failing to load the models within its namespace and experienced an error indicating as much. The fix (uncommenting Model::load_facilities) may introduce facility duplication. We should double check this once and for all since there seems to be some misunderstanding about the chain of events.",clean
" Changes the capacities in some facilities to be in kg for a couple of test cases. Minor.",buggy
" This adds compiling tests for the BookKeeper class... step two of Test Driven Development is to make them pass.",buggy
" update to BuildRegion.cpp",buggy
" Finishing touches needed in BuildRegion.cpp",buggy
" BookKeeper passes a few but certainly not all tests.",buggy
" A few more BookKeeper tests pass.",buggy
" BuildRegion now works as cited. The wiki still needs to be updated so I'll get to that soon.",clean
" The BookKeeper now smoothly fails the first of its reading and writing tests. This though decidedly non-ideal is a marked improvement over previous behavior (immediate seg-fault.) .",buggy
" BookKeeper passes 1D integer reading and writing tests.",clean
" This is supposed to make everything cross platform (at least for linux and mac). I will double check that everything is still okay on the cae side and my own ubuntu box but double-checking from everyone's machines would be nice. Thanks!",buggy
" BookKeeper passes more reading and writing tests. Still fails for strings and 3D doubles. Lots of repeated lines of code in this version of the BookKeeper should be condensed and reviewed once everything is working.",clean
