% 1. Title : data/puppet.train.1yr.comment
%
%
% 2. Sources:
%    (a) Creator : Zach Welch
%    (b) Date 2013-12-05
@RELATION BUGGY
@ATTRIBUTE Kincaid numeric
@ATTRIBUTE Diction numeric
@ATTRIBUTE Queequeg numeric
@ATTRIBUTE classification {clean,buggy}

@DATA
0.6,0,1,clean
4.1,3,3,clean
3.2,1,2,buggy
3.6,0,2,clean
6.5,3,4,clean
7.1,4,4,buggy
4.6,2,3,clean
2.7,1,4,buggy
2.2,1,2,buggy
4.2,4,5,buggy
3.1,2,2,clean
4.7,2,4,buggy
4.7,2,4,clean
2.4,0,4,clean
5.3,13,6,clean
2.4,0,1,clean
-0.3,1,2,buggy
-1.4,0,1,clean
0.1,0,1,clean
7.5,2,4,clean
3.2,1,3,clean
1.9,1,1,clean
3.5,1,2,clean
5.5,4,2,clean
7.0,8,6,clean
2.1,2,2,clean
3.3,4,6,buggy
4.2,1,1,clean
4.6,2,4,buggy
2.8,1,1,clean
34.4,0,4,buggy
0.4,1,3,buggy
4.4,1,3,clean
0.4,1,3,clean
2.1,3,2,buggy
1.3,5,3,buggy
3.6,1,2,buggy
4.4,0,1,clean
4.2,0,2,clean
3.0,2,2,clean
2.7,2,1,clean
1.2,1,2,clean
1.5,2,2,buggy
10.4,3,4,buggy
6.4,2,3,buggy
6.0,0,1,buggy
1.3,2,1,buggy
6.7,3,4,clean
-0.1,0,2,buggy
1.4,2,3,buggy
2.4,0,1,clean
0.1,0,3,buggy
2.4,3,3,clean
0.2,8,3,clean
4.8,2,3,buggy
-0.9,0,1,clean
5.6,0,1,clean
3.3,3,3,buggy
2.1,2,2,clean
5.2,3,5,clean
0.9,0,1,clean
3.1,5,2,clean
2.3,2,2,clean
0.2,1,1,clean
2.4,1,2,clean
-1.8,0,1,clean
0.0,1,1,clean
5.2,1,4,clean
4.5,3,4,buggy
-0.7,1,1,buggy
2.3,0,1,buggy
-1.1,0,1,clean
2.7,2,5,clean
2.2,0,1,clean
0.1,1,1,clean
3.9,3,2,clean
1.5,3,6,clean
0.5,0,1,clean
4.2,0,2,clean
-1.1,0,1,clean
4.4,6,5,clean
3.6,2,3,buggy
17.3,1,1,clean
2.1,1,1,clean
7.1,1,2,clean
-0.3,1,3,clean
-0.3,0,1,clean
-1.1,0,1,clean
-2.6,0,1,clean
0.1,1,1,clean
1.9,1,1,clean
2.4,1,1,clean
3.0,1,1,clean
2.8,2,4,clean
12.6,1,2,clean
-0.9,0,1,clean
6.7,1,1,clean
-2.6,0,1,clean
-0.0,1,2,clean
10.6,0,1,clean
0.1,0,1,clean
5.0,1,2,clean
-0.9,0,1,buggy
0.5,3,4,buggy
2.2,2,4,buggy
21.6,0,1,clean
2.5,0,4,clean
-1.4,0,1,clean
5.2,1,1,buggy
1.5,4,3,buggy
0.5,0,1,clean
8.1,1,1,clean
4.5,1,3,buggy
5.4,1,7,clean
5.8,2,2,buggy
6.2,1,4,buggy
4.0,0,3,clean
3.3,4,5,buggy
11.4,0,1,buggy
6.0,2,4,buggy
5.4,1,7,clean
5.8,0,2,clean
2.1,2,1,clean
1.7,1,1,buggy
1.1,1,1,clean
4.8,2,1,clean
7.4,3,3,buggy
5.4,3,3,clean
-1.8,0,1,clean
0.2,3,1,buggy
0.7,2,2,clean
-0.8,0,1,clean
-2.2,0,1,clean
-0.1,3,2,clean
5.5,5,5,buggy
12.6,1,1,clean
3.1,2,4,buggy
2.4,2,2,clean
23.9,0,1,buggy
0.7,0,1,clean
2.6,0,2,buggy
1.9,3,4,buggy
1.1,3,3,clean
9.5,1,1,buggy
3.6,0,1,buggy
7.8,3,2,buggy
2.0,1,3,clean
1.4,1,1,clean
4.5,0,1,buggy
2.5,3,2,clean
0.6,3,2,buggy
0.1,2,2,clean
-0.7,1,1,clean
-0.6,1,2,clean
-0.2,0,1,clean
2.5,2,2,clean
3.5,2,4,buggy
2.3,2,1,clean
12.6,0,1,clean
2.1,0,1,clean
2.4,0,1,clean
0.9,0,1,clean
6.4,4,3,clean
4.9,3,1,clean
0.2,0,1,buggy
-0.7,0,1,buggy
3.3,1,4,clean
1.3,1,2,clean
-0.3,0,1,clean
3.9,1,2,buggy
0.4,2,2,clean
1.7,0,1,clean
-2.2,0,1,buggy
4.0,3,6,clean
-0.8,1,1,buggy
0.6,1,3,clean
-1.0,1,1,clean
-0.2,2,2,clean
-0.9,1,1,clean
0.6,2,3,clean
-1.1,1,1,clean
-1.1,1,1,clean
-1.1,1,1,clean
-0.5,1,2,clean
1.6,2,1,clean
2.1,3,2,buggy
0.2,2,1,clean
3.5,3,1,clean
2.5,5,3,clean
0.3,0,3,clean
0.9,0,1,clean
2.4,1,2,clean
2.2,2,4,clean
2.6,0,2,clean
-1.1,0,1,buggy
-1.1,0,1,buggy
-1.1,0,1,buggy
5.4,1,2,clean
4.9,2,5,buggy
2.3,1,2,buggy
1.5,1,2,clean
1.0,1,1,buggy
1.9,1,2,buggy
4.5,1,2,clean
8.7,2,2,clean
-1.1,0,1,clean
3.6,0,1,clean
-0.7,0,1,buggy
4.0,1,2,buggy
-0.3,0,1,clean
9.5,0,1,buggy
1.3,2,2,buggy
-0.2,3,1,clean
-2.6,0,1,clean
-0.3,0,1,clean
7.8,3,5,buggy
-2.6,0,1,buggy
0.1,0,1,clean
-1.8,0,1,clean
0.3,0,3,clean
4.3,1,3,clean
-1.1,1,2,buggy
4.4,5,3,clean
4.3,5,3,clean
3.8,1,3,buggy
3.2,1,1,clean
2.8,0,2,clean
4.4,1,2,buggy
3.7,4,5,buggy
3.2,0,1,clean
4.5,1,5,buggy
5.2,1,2,buggy
4.2,2,3,clean
4.5,2,3,buggy
5.4,3,2,buggy
5.6,4,4,clean
1.3,0,1,clean
7.3,1,3,clean
13.2,1,3,buggy
4.1,3,3,clean
1.4,0,1,clean
0.8,0,1,clean
0.8,4,4,clean
1.5,0,3,clean
-1.2,4,2,buggy
11.4,1,5,clean
0.9,2,4,clean
1.4,1,2,clean
2.9,3,2,clean
-1.4,0,1,clean
7.7,2,1,buggy
4.8,0,1,buggy
4.8,1,4,clean
1.3,1,2,clean
1.4,2,5,clean
2.9,1,3,buggy
2.4,1,3,buggy
1.3,0,1,clean
-0.3,0,1,clean
0.3,0,1,clean
-0.1,0,1,buggy
0.7,0,1,clean
4.2,2,2,clean
7.4,1,4,clean
4.6,1,1,clean
0.4,1,2,clean
2.4,1,1,clean
1.9,2,2,clean
4.2,2,2,buggy
-0.3,0,1,clean
-1.4,0,1,clean
4.4,2,3,clean
4.0,2,2,buggy
1.5,5,3,clean
3.0,0,2,clean
9.7,1,1,clean
1.5,0,1,clean
0.8,1,1,clean
1.6,1,1,clean
2.8,2,1,clean
3.7,5,6,clean
3.0,2,3,clean
3.5,1,2,clean
6.0,0,2,clean
1.0,2,4,clean
-2.0,1,1,clean
0.8,1,2,buggy
6.7,0,2,clean
-1.1,0,1,clean
4.9,2,3,clean
0.6,2,2,clean
3.4,0,1,clean
5.4,0,4,clean
-0.1,1,2,clean
4.9,5,10,clean
2.7,2,3,buggy
1.6,2,2,clean
1.4,2,1,buggy
2.8,1,1,clean
2.2,3,4,clean
3.4,4,4,clean
-1.1,0,1,clean
5.8,3,2,buggy
8.5,0,3,buggy
3.2,2,2,clean
1.6,1,3,clean
2.0,1,4,clean
5.2,2,3,clean
5.8,2,2,clean
-1.4,0,1,clean
2.1,2,3,clean
7.1,5,6,clean
3.5,5,3,clean
4.1,10,7,clean
3.8,2,1,clean
-1.3,0,1,clean
4.1,3,3,clean
1.5,0,1,clean
2.5,3,2,clean
0.6,3,2,clean
0.1,2,2,clean
-0.7,1,1,clean
-0.6,1,2,clean
-0.2,0,1,clean
-0.8,1,1,clean
0.6,1,3,clean
-1.0,1,1,clean
-0.2,2,2,clean
-0.9,1,1,clean
0.6,2,3,clean
-1.1,1,1,clean
-1.1,1,1,clean
-1.1,1,1,clean
-0.5,1,2,clean
1.6,2,1,clean
0.2,2,1,clean
3.5,3,1,clean
2.9,1,3,buggy
0.8,1,1,clean
1.6,1,1,clean
2.8,2,1,buggy
3.7,5,6,buggy
3.0,2,3,clean
3.5,1,2,clean
6.7,0,2,buggy
-1.1,0,1,clean
4.9,2,3,clean
9.3,2,4,buggy
0.4,1,2,buggy
14.0,2,2,buggy
-0.7,0,1,clean
-0.7,0,1,clean
4.8,3,3,clean
1.0,1,1,clean
5.4,3,2,clean
-0.7,0,1,clean
5.7,2,5,buggy
1.0,2,1,clean
4.9,7,6,buggy
4.6,2,5,buggy
3.4,3,4,clean
2.6,1,2,clean
5.0,2,2,clean
3.9,1,3,buggy
1.3,0,1,clean
-0.0,0,2,buggy
0.3,1,1,clean
1.1,3,1,clean
-1.0,1,2,clean
1.9,3,4,clean
-1.8,0,1,clean
1.4,1,1,clean
3.0,1,1,buggy
-0.3,0,1,clean
-0.1,0,1,buggy
0.1,1,1,clean
-0.9,0,2,clean
2.6,1,1,clean
4.0,3,3,clean
0.5,0,1,clean
-0.3,0,1,clean
0.5,0,1,clean
6.0,0,1,clean
3.8,3,2,buggy
-1.8,0,1,clean
3.0,1,1,clean
1.8,1,3,clean
8.7,2,3,buggy
-2.2,0,1,clean
5.3,3,1,clean
4.8,1,2,clean
-1.1,0,1,clean
-1.1,0,1,buggy
-1.1,0,1,clean
9.1,1,1,buggy
-1.4,0,1,buggy
5.6,0,1,buggy
-0.2,3,3,clean
1.3,3,3,clean
8.8,3,4,clean
5.4,2,2,buggy
2.9,8,1,clean
2.5,3,1,clean
1.9,1,2,clean
-1.1,0,2,clean
-1.1,0,1,clean
1.7,0,1,clean
5.2,7,1,buggy
0.5,0,1,clean
-1.1,0,1,clean
-1.1,0,1,buggy
5.8,2,3,clean
-1.8,0,1,clean
10.6,1,1,buggy
3.4,3,1,buggy
5.2,0,1,clean
3.7,4,2,buggy
2.7,4,4,buggy
6.0,1,2,buggy
1.9,3,5,clean
4.4,1,3,clean
8.8,3,4,clean
5.2,7,1,buggy
5.8,2,3,clean
2.7,4,4,clean
-1.8,0,1,clean
-0.7,0,1,clean
2.6,1,1,clean
-0.4,2,2,clean
4.2,0,1,buggy
-1.4,0,1,clean
0.9,0,1,buggy
-1.8,0,1,buggy
2.1,0,2,clean
9.7,2,2,clean
0.4,0,2,buggy
2.8,3,4,clean
0.0,2,1,clean
-0.1,2,3,clean
0.3,2,1,clean
9.9,1,1,clean
-1.4,0,1,clean
-3.4,0,1,clean
3.5,3,2,clean
2.1,0,1,buggy
-1.1,0,1,buggy
2.8,4,4,clean
-1.4,0,1,clean
-2.2,0,1,clean
6.4,1,2,clean
2.2,1,1,clean
-3.0,0,1,buggy
-2.2,0,1,buggy
0.5,1,1,clean
1.1,2,1,clean
0.7,1,1,clean
-0.7,0,1,buggy
-0.7,0,1,clean
-3.0,0,1,buggy
-2.2,0,1,clean
2.4,1,3,buggy
-1.1,0,1,clean
2.2,1,1,buggy
-1.1,0,1,clean
0.4,1,1,buggy
0.8,0,1,buggy
-3.0,0,1,buggy
-1.4,0,1,buggy
-1.1,0,1,buggy
0.5,1,1,clean
-1.1,0,2,clean
7.4,0,9,clean
3.4,2,2,clean
-1.1,0,1,buggy
-1.1,0,2,clean
7.9,2,1,buggy
-0.3,0,1,buggy
8.7,2,1,buggy
