% 1. Title : jedit.train.6m
%
%
% 2. Sources:
%    (a) Creator : Zach Welch
%    (b) Date 2013-12-03
@RELATION BUGGY
@ATTRIBUTE NumFiles numeric
@ATTRIBUTE CommentLength numeric
@ATTRIBUTE DayOfWeek {Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday}
@ATTRIBUTE LinesRemoved numeric
@ATTRIBUTE LinesAdded numeric
@ATTRIBUTE User {spestov@users.sourceforge.net,jgellene@users.sourceforge.net,vanhell@users.sourceforge.net,krisko@users.sourceforge.net,orutherfurd@users.sourceforge.net,kpouer@users.sourceforge.net,olearyni@users.sourceforge.net,copy_paste@users.sourceforge.net,vanza@users.sourceforge.net,ezust@users.sourceforge.net,jchoyt@users.sourceforge.net,blueyed@users.sourceforge.net,mediumnet@users.sourceforge.net,vampire0@users.sourceforge.net,hertzhaft@users.sourceforge.net,daleanson@users.sourceforge.net,delvinj@users.sourceforge.net,k_satoda@users.sourceforge.net,shlomy@users.sourceforge.net,ian_davis@users.sourceforge.net,scarlac@users.sourceforge.net,voituk@users.sourceforge.net,fodber@users.sourceforge.net,eyebex@users.sourceforge.net,kerik-sf@users.sourceforge.net,evanpw@users.sourceforge.net,kog13@users.sourceforge.net,elberry@users.sourceforge.net,robmckinnon@users.sourceforge.net,oswaldcz@users.sourceforge.net,jarekczek@users.sourceforge.net,jojaba_67@users.sourceforge.net,tanakahisateru@users.sourceforge.net,milanec@users.sourceforge.net,thomasmey@users.sourceforge.net,rschwenn@users.sourceforge.net,mf3@users.sourceforge.net}
@ATTRIBUTE classification {clean,buggy}

@DATA
1,86,Sunday,0,0,ezust@users.sourceforge.net,clean
3,303,Sunday,19,47,jarekczek@users.sourceforge.net,clean
2,98,Sunday,3,5,jarekczek@users.sourceforge.net,buggy
5,68,Sunday,6,62,ezust@users.sourceforge.net,clean
1,54,Sunday,0,0,ezust@users.sourceforge.net,clean
1,19,Sunday,0,0,ezust@users.sourceforge.net,buggy
1,21,Sunday,0,0,ezust@users.sourceforge.net,buggy
2,52,Monday,0,89,vanza@users.sourceforge.net,clean
1,41,Monday,0,0,vanza@users.sourceforge.net,clean
1,41,Monday,0,0,kpouer@users.sourceforge.net,clean
1,50,Monday,0,0,kpouer@users.sourceforge.net,clean
1,93,Monday,0,0,kpouer@users.sourceforge.net,clean
1,144,Monday,0,0,ezust@users.sourceforge.net,clean
2,15,Monday,2,6,ezust@users.sourceforge.net,clean
2,59,Monday,5,19,kpouer@users.sourceforge.net,buggy
2,28,Monday,11,10,ezust@users.sourceforge.net,clean
1,79,Monday,0,0,ezust@users.sourceforge.net,clean
1,44,Monday,0,0,ezust@users.sourceforge.net,clean
1,25,Tuesday,0,0,kpouer@users.sourceforge.net,clean
6,69,Tuesday,23,26,kpouer@users.sourceforge.net,clean
2,92,Tuesday,0,0,kpouer@users.sourceforge.net,clean
2,84,Tuesday,0,4,kpouer@users.sourceforge.net,buggy
1,212,Tuesday,0,0,tanakahisateru@users.sourceforge.net,clean
2,144,Tuesday,4,0,kpouer@users.sourceforge.net,clean
3,205,Tuesday,11,34,ezust@users.sourceforge.net,clean
1,15,Tuesday,0,0,ezust@users.sourceforge.net,clean
1,56,Wednesday,0,0,kpouer@users.sourceforge.net,buggy
2,128,Friday,12,16,kpouer@users.sourceforge.net,clean
1,26,Tuesday,0,0,kpouer@users.sourceforge.net,clean
2,206,Wednesday,4,212,k_satoda@users.sourceforge.net,buggy
1,79,Saturday,0,0,ezust@users.sourceforge.net,clean
1,81,Thursday,0,0,ezust@users.sourceforge.net,clean
1,42,Thursday,0,0,ezust@users.sourceforge.net,clean
1,32,Saturday,0,0,kerik-sf@users.sourceforge.net,clean
2,68,Saturday,2,3,ezust@users.sourceforge.net,buggy
2,60,Tuesday,14,18,ezust@users.sourceforge.net,buggy
2,14,Tuesday,3,11,ezust@users.sourceforge.net,clean
2,188,Tuesday,2,2,jarekczek@users.sourceforge.net,clean
2,128,Tuesday,4,7,jarekczek@users.sourceforge.net,buggy
1,83,Tuesday,0,0,jarekczek@users.sourceforge.net,clean
1,206,Wednesday,0,0,jarekczek@users.sourceforge.net,buggy
2,133,Wednesday,12,9,jarekczek@users.sourceforge.net,buggy
3,361,Wednesday,0,8,jarekczek@users.sourceforge.net,clean
2,391,Thursday,5,7,jarekczek@users.sourceforge.net,clean
54,119,Thursday,0,0,jarekczek@users.sourceforge.net,clean
1,64,Friday,0,0,jarekczek@users.sourceforge.net,clean
2,158,Saturday,4,7,jarekczek@users.sourceforge.net,clean
11,64,Saturday,106,120,ezust@users.sourceforge.net,clean
11,64,Saturday,106,120,ezust@users.sourceforge.net,clean
4,52,Sunday,278,473,ezust@users.sourceforge.net,buggy
2,56,Sunday,0,0,ezust@users.sourceforge.net,clean
2,144,Monday,6,21,jarekczek@users.sourceforge.net,clean
3,92,Tuesday,8,25,ezust@users.sourceforge.net,buggy
7,61,Wednesday,0,0,jarekczek@users.sourceforge.net,clean
3,82,Monday,3,12,ezust@users.sourceforge.net,clean
1,15,Monday,0,0,ezust@users.sourceforge.net,buggy
4,47,Tuesday,10,2541,kpouer@users.sourceforge.net,buggy
1,104,Tuesday,0,0,kpouer@users.sourceforge.net,buggy
2,68,Tuesday,0,11,kpouer@users.sourceforge.net,clean
2,206,Tuesday,8,11,kpouer@users.sourceforge.net,clean
1,100,Friday,0,0,kpouer@users.sourceforge.net,clean
2,85,Friday,0,20,kpouer@users.sourceforge.net,clean
2,89,Friday,0,4,kpouer@users.sourceforge.net,clean
2,104,Friday,0,46,kpouer@users.sourceforge.net,clean
3,173,Saturday,42,90,jarekczek@users.sourceforge.net,clean
2,47,Sunday,0,11,ezust@users.sourceforge.net,clean
1,15,Sunday,0,0,ezust@users.sourceforge.net,clean
1,37,Monday,0,0,kerik-sf@users.sourceforge.net,buggy
1,53,Monday,0,0,kerik-sf@users.sourceforge.net,clean
1,29,Tuesday,0,0,ezust@users.sourceforge.net,clean
3,31,Tuesday,11,8,ezust@users.sourceforge.net,clean
3,79,Tuesday,4,11,ezust@users.sourceforge.net,buggy
1,17,Tuesday,0,0,ezust@users.sourceforge.net,clean
2,82,Tuesday,0,45,ezust@users.sourceforge.net,clean
